kind,task,target,n,base_rate,auroc,auroc_lo,auroc_hi,worst_stratum,worst_stratum_auroc,never,always,oracle,routed,waste
probe,bbh,helped,540,0.18518518518518517,0.7339772727272728,0.7059822176370585,0.761972327817487,hard,0.6431089743589744,0.6888888888888889,0.8333333333333334,0.874074074074074,0.8296296296296296,0.15000000000000002
probe,bbh,needs_thinking,540,0.32407407407407407,0.8199608610567515,0.7946097866210945,0.8453119354924085,easy,0.7911152310512926,0.6759259259259259,0.8240740740740741,0.8722222222222221,0.8222222222222222,0.29074074074074074
probe,bbh,rescued,175,0.5714285714285714,0.738,0.6844186997793695,0.7915813002206304,easy,0.6841071428571428,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.11428571428571421
probe,gsm8k,helped,1319,0.03639120545868082,0.6879265091863517,0.6309407736653324,0.7449122447073709,medium,0.6301017086208336,0.9406844106463879,0.9475285171102662,0.9749049429657795,0.9490494296577946,0.8403041825095057
probe,gsm8k,needs_thinking,1319,0.06747536012130402,0.6867660343270099,0.6521552710997685,0.7213767975542513,hard,0.6357095752273688,0.9318181818181819,0.934090909090909,0.9681818181818181,0.9333333333333333,0.9
probe,gsm8k,rescued,89,0.5393258426966292,0.5972222222222222,0.45788273095301857,0.7365617134914259,easy,0.0,0.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.12941176470588245
probe,math500,helped,500,0.078,0.6260869565217392,0.5815942019396451,0.6705797111038333,easy,0.30425492382014124,0.732,0.75,0.8119999999999999,0.754,0.6
probe,math500,needs_thinking,500,0.236,0.6991530208921513,0.6337409440086329,0.7645650977756696,medium,0.6458610876567532,0.77,0.77,0.836,0.774,0.89
probe,math500,rescued,118,0.3305084745762712,0.559375,0.4406068434932999,0.6781431565067,easy,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1416666666666666
probe,mmlu_pro,helped,1000,0.131,0.5160035366931919,0.4844430198549861,0.5475640535313976,hard,0.4725,0.633,0.697,0.763,0.692,0.040000000000000036
probe,mmlu_pro,needs_thinking,1000,0.376,0.65856,0.6302167740930493,0.6869032259069507,easy,0.6396780897017103,0.625,0.6900000000000001,0.756,0.6900000000000001,0.44000000000000006
probe,mmlu_pro,rescued,376,0.3484042553191489,0.48948194662480377,0.4627924100805558,0.5161714831690517,easy,0.47521658482523,0.0,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.0
transfer,bbh->gsm8k,helped,,,0.5194876081825334,0.4481830686425437,0.590792147722523,,,,,,,21.44896645447394
transfer,bbh->gsm8k,needs_thinking,,,0.6107198319174204,0.5914128384050268,0.630026825429814,,,,,,,20.92410291393311
transfer,bbh->gsm8k,rescued,,,0.4230691056910569,0.36852077422563095,0.4776174371564828,,,,,,,31.49308943089431
transfer,bbh->math500,helped,,,0.49804772234273315,0.41943940222816034,0.576656042457306,,,,,,,23.59295503845396
transfer,bbh->math500,needs_thinking,,,0.5979412547697224,0.575002871235927,0.6208796383035178,,,,,,,22.20196062870291
transfer,bbh->math500,rescued,,,0.4980201233365791,0.47436859316574453,0.5216716535074136,,,,,,,23.99798766634209
transfer,bbh->mmlu_pro,helped,,,0.5410017656514904,0.5058542140889682,0.5761493172140125,,,,,,,19.29755070757824
transfer,bbh->mmlu_pro,needs_thinking,,,0.5764985679214403,0.5721321611593034,0.5808649746835771,,,,,,,24.34622931353112
transfer,bbh->mmlu_pro,rescued,,,0.4945505530456458,0.4591510189915593,0.5299500870997323,,,,,,,24.344944695435416
transfer,gsm8k->bbh,helped,,,0.5073681818181818,0.48597579296805854,0.528760570668305,,,,,,,18.05583273681699
transfer,gsm8k->bbh,needs_thinking,,,0.5588461839530334,0.5010593021636178,0.616633065742449,,,,,,,12.791985037397646
transfer,gsm8k->bbh,rescued,,,0.57548,0.5420025879837365,0.6089574120162635,,,,,,,2.174222222222222
transfer,gsm8k->math500,helped,,,0.6300906613271039,0.5673642615660058,0.692817061088202,,,,,,,5.783584785924778
transfer,gsm8k->math500,needs_thinking,,,0.6516594196468186,0.6031195812626998,0.7001992580309374,,,,,,,3.5106614680191273
transfer,gsm8k->math500,rescued,,,0.4804933463161311,0.45050773240325714,0.5104789602290051,,,,,,,11.67288759060911
transfer,gsm8k->mmlu_pro,helped,,,0.49782499846274125,0.4496542606605539,0.5459957362649286,,,,,,,19.010151072361044
transfer,gsm8k->mmlu_pro,needs_thinking,,,0.5503234963175123,0.5348654646144028,0.5657815280206219,,,,,,,13.644253800949757
transfer,gsm8k->mmlu_pro,rescued,,,0.512783922729397,0.4827664616958303,0.5428013837629637,,,,,,,8.443829949282522
transfer,math500->bbh,helped,,,0.5670590909090908,0.5429358719004501,0.5911823099177315,,,,,,,5.902786561264839
transfer,math500->bbh,needs_thinking,,,0.43087592954990217,0.39744766686429034,0.464304192235514,,,,,,,26.827709134224907
transfer,math500->bbh,rescued,,,0.5870533333333333,0.5614445200670637,0.6126621465996029,,,,,,,-2.767833333333336
transfer,math500->gsm8k,helped,,,0.564152242328875,0.5396676918044521,0.5886367928532978,,,,,,,6.193471419286423
transfer,math500->gsm8k,needs_thinking,,,0.5548077098748516,0.5313730849370543,0.578242334812649,,,,,,,14.434531101729963
transfer,math500->gsm8k,rescued,,,0.4922764227642277,0.4080846263928216,0.5764682191356337,,,,,,,6.709857723577228
transfer,math500->mmlu_pro,helped,,,0.531935452700744,0.49139461454954736,0.5724762908519407,,,,,,,9.415150382099513
transfer,math500->mmlu_pro,needs_thinking,,,0.5074485133660666,0.48574401666230216,0.529153010069831,,,,,,,19.17045075260847
transfer,math500->mmlu_pro,rescued,,,0.4909643246611621,0.44702871640738007,0.5348999329149441,,,,,,,6.841067533883788
transfer,mmlu_pro->bbh,helped,,,0.5596795454545455,0.4986008198687753,0.6207582710403157,,,,,,,-4.3676008761353575
transfer,mmlu_pro->bbh,needs_thinking,,,0.5564086105675147,0.5184769603861363,0.594340260748893,,,,,,,10.215138943248537
