task,target,n,base_rate,probe_mean,probe_lo,probe_hi,text_name,text_mean,text_lo,text_hi,conf_name,conf_mean,conf_lo,conf_hi
bbh,helped,540,0.0667,0.5341,0.2999,0.7671,,,,,,,,
bbh,needs_thinking,540,0.6685,0.7546,0.6497,0.8484,tfidf_word,0.7937,0.6997,0.8750,confidence_lr,0.6662,0.5637,0.7651
bbh,rescued,361,0.0997,0.7556,0.5471,0.9318,tfidf_char,0.8018,0.6383,0.9339,confidence_lr,0.5380,0.2919,0.7836
lsat,helped,230,0.2957,0.5925,0.3984,0.7747,,,,,,,,
lsat,needs_thinking,230,0.7565,0.5618,0.3530,0.7606,length_words,0.5738,0.3803,0.7583,n_tokens_off,0.6083,0.4328,0.7729
lsat,rescued,174,0.3908,0.6886,0.4968,0.8605,tfidf_word,0.6396,0.4410,0.8156,mean_entropy,0.6190,0.4096,0.8121
