kind,task,target,n,base_rate,auroc,auroc_lo,auroc_hi,worst_stratum,worst_stratum_auroc,never,always,oracle,routed,waste
probe,bbh,helped,540,0.06666666666666667,0.534087694483734,0.4715385831056903,0.5966368058617778,hard,0.4188034188034188,0.3425925925925926,0.3314814814814815,0.40740740740740744,0.3314814814814815,0.9407407407407408
probe,bbh,needs_thinking,540,0.6685185185185185,0.7546296296296295,0.717931283284118,0.791327975975141,medium,0.6581458329920662,0.3333333333333333,0.312962962962963,0.39444444444444443,0.312962962962963,0.8
probe,bbh,rescued,361,0.0997229916897507,0.7556043956043956,0.6975639363432681,0.8136448548655232,hard,0.36507936507936506,0.0,0.09722222222222222,0.09722222222222222,0.09722222222222222,0.288888888888889
probe,lsat,helped,230,0.2956521739130435,0.5925407925407925,0.4929626847827784,0.6921189002988066,easy,0.0,0.2782608695652174,0.5173913043478261,0.5608695652173913,0.5,0.09130434782608687
probe,lsat,needs_thinking,230,0.7565217391304347,0.5618181818181818,0.48400217505163723,0.6396341885847263,medium,0.5648194964101527,0.2391304347826087,0.5347826086956522,0.5826086956521739,0.5347826086956522,0.06956521739130428
probe,lsat,rescued,174,0.39080459770114945,0.6886446886446886,0.6159579208912445,0.7613314563981328,hard,0.6822916666666667,0.0,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.15294117647058825
transfer,bbh->lsat,helped,,,0.4492647058823529,0.42479394431027206,0.47373546745443373,,,,,,,8.482298860138116
transfer,bbh->lsat,needs_thinking,,,0.4478448275862069,0.4267788880127243,0.46891076715968955,,,,,,,30.67848020434226
transfer,bbh->lsat,rescued,,,0.4456437291897892,0.41775032075925517,0.4735371376203232,,,,,,,30.996066641460647
transfer,lsat->bbh,helped,,,0.5019179894179894,0.4757593603995727,0.5280766184364061,,,,,,,9.062280312280313
transfer,lsat->bbh,needs_thinking,,,0.5483928875408162,0.5016372824261757,0.5951484926554567,,,,,,,1.3425294277365607
transfer,lsat->bbh,rescued,,,0.5783076923076924,0.5524845356822501,0.6041308489331347,,,,,,,11.033699633699623
