kind,task,target,n,base_rate,auroc,auroc_lo,auroc_hi,worst_stratum,worst_stratum_auroc,never,always,oracle,routed,waste
probe,bbh,helped,540,0.3277777777777778,0.7881172839506173,0.7602665030803331,0.8159680648209016,easy,0.6286269286269286,0.5296296296296296,0.8277777777777778,0.8629629629629629,0.8277777777777778,0.12037037037037046
probe,bbh,needs_thinking,540,0.48148148148148145,0.8381524725274726,0.7928119106699458,0.8834930343849994,hard,0.7653174603174603,0.5185185185185185,0.8148148148148149,0.8388888888888889,0.8148148148148149,0.12037037037037046
probe,gsm8k,helped,1319,0.10386656557998483,0.7278481012658228,0.6929812659845466,0.762714936547099,hard,0.6302188810847722,0.8581132075471698,0.9388679245283018,0.9637735849056603,0.9350943396226417,0.24981132075471701
probe,gsm8k,needs_thinking,1319,0.14404852160727824,0.701653469958081,0.65960047098894,0.7437064689272219,hard,0.59232682124813,0.8560606060606061,0.9401515151515152,0.9613636363636363,0.934090909090909,0.20984848484848484
probe,lsat,helped,230,0.6478260869565218,0.52625,0.4426901927426296,0.6098098072573703,medium,0.5015471195471196,0.1391304347826087,0.7565217391304347,0.7913043478260869,0.7565217391304347,0.01739130434782621
probe,lsat,needs_thinking,230,0.8434782608695652,0.46446886446886443,0.3442601483239344,0.5846775806137944,medium,0.4562837832102537,0.15217391304347827,0.7913043478260869,0.8304347826086957,0.7913043478260869,0.0
probe,math500,helped,500,0.526,0.6660256410256411,0.6220648859183425,0.7099863961329397,hard,0.5863974995592642,0.25,0.766,0.77,0.766,0.050000000000000044
probe,math500,needs_thinking,500,0.738,0.8794178794178794,0.8597459392270145,0.8990898196087443,easy,0.8191749824929971,0.26,0.79,0.794,0.79,0.08000000000000007
probe,mmlu_pro,helped,1000,0.35,0.7202307692307692,0.703966292675001,0.7364952457865375,easy,0.7170206177299894,0.369,0.683,0.719,0.683,0.05999999999999994
probe,mmlu_pro,needs_thinking,1000,0.615,0.7815542181395839,0.7744444035048641,0.7886640327743037,hard,0.6511682761682762,0.385,0.704,0.743,0.701,0.09000000000000008
transfer,bbh->gsm8k,helped,,,0.5767337310262205,0.5244180599708506,0.6290494020815904,,,,,,,21.13835529243968
transfer,bbh->gsm8k,needs_thinking,,,0.5068237677078316,0.4473379018282525,0.5663096335874106,,,,,,,33.132870481964105
transfer,bbh->lsat,helped,,,0.49507829977628626,0.47005596972680735,0.5201006298257651,,,,,,,29.303898417433103
transfer,bbh->lsat,needs_thinking,,,0.5237467892948877,0.5069448442993274,0.540548734290448,,,,,,,31.44056832325849
transfer,bbh->math500,helped,,,0.5332097992973,0.4821696607333105,0.5842499378612893,,,,,,,25.490748465331738
transfer,bbh->math500,needs_thinking,,,0.5022861818356837,0.49488054742798115,0.5096918162433863,,,,,,,33.58662906917888
transfer,bbh->mmlu_pro,helped,,,0.5835178021978022,0.5420193820008696,0.6250162223947349,,,,,,,20.459948175281507
transfer,bbh->mmlu_pro,needs_thinking,,,0.42403604395604394,0.3335866526115975,0.5144854353004904,,,,,,,41.411642857142866
transfer,gsm8k->bbh,helped,,,0.7039797045960375,0.697094229178161,0.7108651800139141,,,,,,,2.386839666978524
transfer,gsm8k->bbh,needs_thinking,,,0.632072652565719,0.5430153367025075,0.7211299684289305,,,,,,,6.958081739236199
transfer,gsm8k->lsat,helped,,,0.516223382218908,0.49163057965426454,0.5408161847835513,,,,,,,21.162471904691483
transfer,gsm8k->lsat,needs_thinking,,,0.5015825669069517,0.4847303693253371,0.5184347644885663,,,,,,,20.00709030511293
transfer,gsm8k->math500,helped,,,0.6154032503890521,0.5937174860988197,0.6370890146792845,,,,,,,11.24448508767707
transfer,gsm8k->math500,needs_thinking,,,0.6199066275208163,0.5918595939545189,0.6479536610871136,,,,,,,8.174684243726471
transfer,gsm8k->mmlu_pro,helped,,,0.6064443956043956,0.523574636797181,0.6893141544116101,,,,,,,12.140370566142721
transfer,gsm8k->mmlu_pro,needs_thinking,,,0.6143991208791209,0.5399484523526474,0.6888497894055943,,,,,,,8.725434907896013
transfer,lsat->bbh,helped,,,0.5206346982926335,0.4540819022199626,0.5871874943653045,,,,,,,0.561530170736646
transfer,lsat->bbh,needs_thinking,,,0.5366624643974414,0.47557013190790115,0.5977547968869815,,,,,,,-7.219359992857694
transfer,lsat->gsm8k,helped,,,0.46380624204922993,0.40051070053898763,0.5271017835594722,,,,,,,6.244375795077007
